Timestamp,Container,CPU_Percentage,Memory_Percentage
09:04:27,lb,0.00%,0.03%
09:04:29,lb,0.00%,0.03%
09:04:32,lb,0.00%,0.03%
09:04:34,lb,0.00%,0.03%
09:04:37,lb,0.00%,0.03%
09:04:39,lb,0.00%,0.03%
09:04:42,lb,0.00%,0.03%
09:04:44,lb,0.00%,0.03%
09:04:47,lb,0.00%,0.03%
09:04:49,lb,0.00%,0.03%
09:04:52,lb,0.00%,0.03%
09:04:54,lb,0.00%,0.03%
09:04:57,lb,0.00%,0.03%
09:05:00,lb,0.00%,0.03%
09:05:02,lb,0.00%,0.03%
09:05:05,lb,0.00%,0.03%
09:05:07,lb,0.00%,0.03%
09:05:10,lb,0.00%,0.03%
09:05:12,lb,0.00%,0.03%
09:05:15,lb,0.00%,0.03%
09:05:17,lb,0.00%,0.03%
09:05:20,lb,0.00%,0.03%
09:05:22,lb,0.00%,0.03%
09:05:25,lb,0.00%,0.03%
09:05:27,lb,0.00%,0.03%
09:05:30,lb,0.00%,0.03%
09:05:32,lb,0.00%,0.03%
09:05:35,lb,0.00%,0.03%
09:05:38,lb,0.00%,0.03%
09:05:40,lb,27.50%,0.12%
09:05:43,lb,9.87%,0.12%
09:05:45,lb,23.84%,0.12%
09:05:48,lb,29.73%,0.12%
09:05:50,lb,31.01%,0.12%
09:05:53,lb,29.66%,0.13%
09:05:55,lb,31.18%,0.13%
09:05:58,lb,29.54%,0.13%
09:06:00,lb,29.61%,0.13%
09:06:03,lb,29.17%,0.13%
09:06:05,lb,29.28%,0.13%
09:06:08,lb,29.37%,0.13%
09:06:11,lb,28.99%,0.13%
09:06:13,lb,167.71%,0.13%
09:06:16,lb,223.39%,0.13%
09:06:18,lb,242.54%,0.13%
09:06:21,lb,235.32%,0.13%
09:06:23,lb,245.88%,0.13%
09:06:26,lb,234.70%,0.13%
09:06:28,lb,229.78%,0.13%
09:06:31,lb,232.01%,0.13%
09:06:33,lb,242.66%,0.13%
09:06:36,lb,241.63%,0.13%
09:06:39,lb,248.04%,0.13%
09:06:41,lb,4.04%,0.10%
09:06:44,lb,0.00%,0.10%
09:06:46,lb,0.00%,0.10%
09:06:49,lb,0.00%,0.10%
09:06:51,lb,0.00%,0.10%
09:06:54,lb,0.00%,0.09%
09:06:56,lb,0.00%,0.09%
09:06:59,lb,0.00%,0.09%
09:07:01,lb,0.00%,0.09%
09:07:04,lb,0.00%,0.09%
09:07:06,lb,0.00%,0.09%
09:07:09,lb,0.00%,0.09%
09:07:12,lb,0.00%,0.09%
09:07:14,lb,0.00%,0.08%
09:07:17,lb,0.00%,0.08%
09:07:19,lb,0.00%,0.08%
09:07:22,lb,0.00%,0.08%
09:07:24,lb,0.00%,0.08%
09:07:27,lb,0.00%,0.08%
09:07:29,lb,0.00%,0.08%
09:07:32,lb,0.00%,0.08%
09:07:34,lb,0.00%,0.08%
09:07:37,lb,0.00%,0.08%
09:07:39,lb,0.00%,0.08%
09:07:42,lb,0.00%,0.08%
09:07:44,lb,0.00%,0.08%
09:07:47,lb,0.00%,0.08%
09:07:49,lb,0.00%,0.08%
09:07:52,lb,0.00%,0.08%
09:07:55,lb,0.00%,0.08%
09:07:57,lb,0.00%,0.08%
09:08:00,lb,0.00%,0.08%
09:08:02,lb,0.00%,0.08%
09:08:05,lb,0.00%,0.08%
09:08:07,lb,0.00%,0.08%
09:08:10,lb,0.00%,0.08%
09:08:12,lb,0.00%,0.08%
09:08:15,lb,0.00%,0.08%
09:08:17,lb,0.00%,0.08%
09:08:20,lb,0.00%,0.08%
09:08:22,lb,0.00%,0.08%
09:08:25,lb,0.00%,0.08%
09:08:27,lb,0.00%,0.08%
09:08:30,lb,0.00%,0.08%
09:08:33,lb,0.00%,0.08%
09:08:35,lb,0.00%,0.08%
09:08:38,lb,0.00%,0.08%
09:08:40,lb,0.00%,0.08%
09:08:43,lb,0.00%,0.08%
09:08:45,lb,0.00%,0.08%
09:08:48,lb,0.00%,0.08%
09:08:50,lb,0.00%,0.08%
09:08:53,lb,0.00%,0.08%
09:08:55,lb,0.00%,0.08%
09:08:58,lb,0.00%,0.08%
09:09:00,lb,0.00%,0.08%
09:09:03,lb,0.00%,0.08%
09:09:05,lb,0.00%,0.08%
09:09:08,lb,0.00%,0.08%
09:09:11,lb,0.00%,0.08%
09:09:13,lb,0.00%,0.08%
09:09:16,lb,0.00%,0.08%
09:09:18,lb,0.00%,0.08%
09:09:21,lb,0.00%,0.08%
09:09:23,lb,0.00%,0.08%
09:09:26,lb,0.00%,0.08%
