Timestamp,Container,CPU_Percentage,Memory_Percentage
09:15:14,lb,0.00%,0.07%
09:15:17,lb,0.00%,0.07%
09:15:19,lb,0.00%,0.07%
09:15:22,lb,0.00%,0.07%
09:15:25,lb,0.00%,0.07%
09:15:27,lb,0.00%,0.07%
09:15:30,lb,0.00%,0.07%
09:15:32,lb,0.02%,0.07%
09:15:35,lb,0.00%,0.07%
09:15:37,lb,0.00%,0.07%
09:15:40,lb,0.00%,0.07%
09:15:42,lb,0.01%,0.07%
09:15:45,lb,0.00%,0.07%
09:15:47,lb,0.00%,0.07%
09:15:50,lb,0.00%,0.07%
09:15:53,lb,0.02%,0.07%
09:15:55,lb,0.00%,0.07%
09:15:58,lb,0.00%,0.07%
09:16:00,lb,0.00%,0.07%
09:16:03,lb,0.36%,0.07%
09:16:05,lb,0.00%,0.07%
09:16:08,lb,0.00%,0.07%
09:16:10,lb,0.00%,0.07%
09:16:13,lb,0.02%,0.07%
09:16:15,lb,0.00%,0.07%
09:16:18,lb,0.00%,0.07%
09:16:20,lb,0.00%,0.07%
09:16:23,lb,0.02%,0.07%
09:16:25,lb,0.00%,0.07%
09:16:28,lb,0.00%,0.07%
09:16:31,lb,0.00%,0.07%
09:16:33,lb,0.00%,0.07%
09:16:36,lb,0.00%,0.07%
09:16:38,lb,0.00%,0.07%
09:16:41,lb,0.00%,0.07%
09:16:43,lb,0.00%,0.07%
09:16:46,lb,0.00%,0.07%
09:16:48,lb,0.00%,0.07%
09:16:51,lb,0.00%,0.07%
09:16:53,lb,0.00%,0.07%
09:16:56,lb,0.00%,0.07%
09:16:58,lb,0.00%,0.07%
09:17:01,lb,0.00%,0.07%
09:17:03,lb,0.00%,0.07%
09:17:06,lb,0.00%,0.07%
09:17:09,lb,0.00%,0.07%
09:17:11,lb,0.00%,0.07%
09:17:14,lb,0.00%,0.07%
09:17:16,lb,0.00%,0.07%
09:17:19,lb,0.00%,0.07%
09:17:21,lb,0.00%,0.07%
09:17:24,lb,0.00%,0.07%
09:17:26,lb,0.00%,0.07%
09:17:29,lb,0.00%,0.07%
09:17:31,lb,0.00%,0.07%
09:17:34,lb,0.00%,0.07%
09:17:36,lb,0.00%,0.07%
09:17:39,lb,0.00%,0.07%
09:17:41,lb,0.00%,0.07%
09:17:44,lb,0.00%,0.07%
09:17:47,lb,0.00%,0.07%
09:17:49,lb,0.00%,0.07%
09:17:52,lb,0.00%,0.07%
09:17:54,lb,0.00%,0.07%
09:17:57,lb,98.78%,0.77%
09:17:59,lb,98.32%,1.04%
09:18:02,lb,99.58%,1.14%
09:18:04,lb,90.25%,1.15%
09:18:07,lb,83.92%,1.17%
09:18:09,lb,91.32%,1.19%
09:18:12,lb,93.95%,1.19%
09:18:15,lb,93.17%,1.19%
09:18:17,lb,88.37%,1.19%
09:18:20,lb,91.90%,1.19%
09:18:22,lb,99.41%,1.20%
09:18:25,lb,92.52%,1.22%
09:18:27,lb,84.91%,1.22%
09:18:30,lb,88.26%,1.20%
09:18:33,lb,91.40%,1.20%
09:18:35,lb,103.96%,1.20%
09:18:38,lb,89.68%,1.21%
09:18:40,lb,86.88%,1.21%
09:18:43,lb,89.32%,1.21%
09:18:45,lb,96.93%,1.21%
09:18:48,lb,97.98%,1.21%
09:18:50,lb,92.62%,1.21%
09:18:53,lb,92.44%,1.21%
09:18:55,lb,86.32%,1.16%
09:18:58,lb,0.07%,1.15%
09:19:01,lb,0.00%,1.15%
09:19:03,lb,0.00%,1.15%
09:19:06,lb,0.00%,1.15%
09:19:08,lb,0.00%,1.15%
09:19:11,lb,0.00%,1.15%
09:19:13,lb,0.00%,1.15%
09:19:16,lb,0.00%,1.15%
09:19:18,lb,0.00%,1.15%
09:19:21,lb,0.00%,1.15%
09:19:23,lb,0.00%,1.15%
09:19:26,lb,0.00%,1.15%
09:19:28,lb,0.00%,1.15%
09:19:31,lb,0.00%,1.15%
09:19:34,lb,0.00%,1.15%
09:19:36,lb,0.00%,1.15%
09:19:39,lb,0.00%,1.15%
09:19:41,lb,0.00%,1.14%
09:19:44,lb,0.00%,1.14%
09:19:46,lb,0.00%,1.14%
09:19:49,lb,0.00%,1.14%
09:19:51,lb,0.00%,1.14%
09:19:54,lb,0.00%,1.14%
09:19:56,lb,0.00%,1.14%
09:19:59,lb,0.00%,1.14%
09:20:01,lb,0.00%,1.14%
09:20:04,lb,0.00%,1.14%
09:20:06,lb,0.00%,1.14%
09:20:09,lb,0.00%,1.14%
09:20:12,lb,0.00%,1.14%
