Timestamp,Container,CPU_Percentage,Memory_Percentage
08:54:23,lb,0.00%,0.07%
08:54:26,lb,0.00%,0.07%
08:54:28,lb,0.00%,0.07%
08:54:31,lb,0.03%,0.07%
08:54:33,lb,0.00%,0.07%
08:54:36,lb,0.00%,0.07%
08:54:38,lb,0.00%,0.07%
08:54:41,lb,0.02%,0.08%
08:54:43,lb,0.00%,0.08%
08:54:46,lb,0.00%,0.08%
08:54:48,lb,0.00%,0.08%
08:54:51,lb,0.04%,0.08%
08:54:53,lb,0.00%,0.08%
08:54:56,lb,0.00%,0.08%
08:54:59,lb,0.00%,0.08%
08:55:01,lb,0.02%,0.08%
08:55:04,lb,0.00%,0.08%
08:55:06,lb,0.00%,0.08%
08:55:09,lb,0.00%,0.08%
08:55:11,lb,0.33%,0.08%
08:55:14,lb,0.00%,0.08%
08:55:16,lb,0.00%,0.08%
08:55:19,lb,0.00%,0.08%
08:55:21,lb,0.00%,0.08%
08:55:24,lb,0.00%,0.08%
08:55:26,lb,0.00%,0.08%
08:55:29,lb,0.00%,0.08%
08:55:31,lb,0.00%,0.08%
08:55:34,lb,0.00%,0.08%
08:55:37,lb,120.76%,0.61%
08:55:39,lb,93.47%,0.96%
08:55:42,lb,90.43%,1.10%
08:55:44,lb,90.88%,1.22%
08:55:47,lb,88.32%,1.24%
08:55:49,lb,88.15%,1.24%
08:55:52,lb,91.25%,1.24%
08:55:54,lb,97.01%,1.24%
08:55:57,lb,101.91%,1.24%
08:56:00,lb,102.66%,1.24%
08:56:02,lb,98.31%,1.24%
08:56:05,lb,100.16%,1.24%
08:56:07,lb,86.33%,1.24%
08:56:10,lb,90.34%,1.24%
08:56:12,lb,91.63%,1.24%
08:56:15,lb,87.08%,1.24%
08:56:17,lb,94.40%,1.24%
08:56:20,lb,91.56%,1.24%
08:56:23,lb,97.25%,1.24%
08:56:25,lb,104.06%,1.24%
08:56:28,lb,107.37%,1.24%
08:56:30,lb,102.10%,1.24%
08:56:33,lb,92.82%,1.24%
08:56:35,lb,90.44%,1.25%
08:56:38,lb,2.90%,1.22%
08:56:40,lb,0.04%,1.22%
08:56:43,lb,0.02%,1.22%
08:56:45,lb,0.00%,1.21%
08:56:48,lb,0.00%,1.21%
08:56:50,lb,0.06%,1.21%
08:56:53,lb,0.00%,1.21%
08:56:56,lb,0.00%,1.21%
08:56:58,lb,0.00%,1.21%
08:57:01,lb,0.03%,1.21%
08:57:03,lb,0.00%,1.21%
08:57:06,lb,0.00%,1.21%
08:57:08,lb,0.00%,1.21%
08:57:11,lb,0.05%,1.21%
08:57:13,lb,0.00%,1.21%
08:57:16,lb,0.00%,1.21%
08:57:18,lb,0.00%,1.21%
08:57:21,lb,0.03%,1.21%
08:57:23,lb,0.00%,1.21%
08:57:26,lb,0.00%,1.21%
08:57:28,lb,0.00%,1.20%
08:57:31,lb,0.04%,1.20%
08:57:34,lb,0.00%,1.20%
08:57:36,lb,0.00%,1.20%
08:57:39,lb,0.00%,1.20%
08:57:41,lb,0.05%,1.20%
08:57:44,lb,0.00%,1.20%
08:57:46,lb,0.00%,1.20%
08:57:49,lb,0.00%,1.20%
08:57:51,lb,0.00%,1.20%
08:57:54,lb,0.00%,1.20%
08:57:56,lb,0.00%,1.20%
08:57:59,lb,0.00%,1.20%
08:58:01,lb,0.00%,1.20%
08:58:04,lb,0.00%,1.20%
08:58:06,lb,0.00%,1.20%
08:58:09,lb,0.00%,1.20%
08:58:12,lb,0.00%,1.20%
08:58:14,lb,0.00%,1.20%
08:58:17,lb,0.00%,1.20%
08:58:19,lb,0.00%,1.20%
08:58:22,lb,0.00%,1.20%
08:58:24,lb,0.00%,1.20%
08:58:27,lb,0.00%,1.20%
08:58:29,lb,0.00%,1.20%
08:58:32,lb,0.00%,1.20%
08:58:34,lb,0.00%,1.20%
08:58:37,lb,0.00%,1.20%
08:58:39,lb,0.00%,1.20%
08:58:42,lb,0.00%,1.20%
08:58:44,lb,0.00%,1.20%
08:58:47,lb,0.00%,1.20%
08:58:50,lb,0.00%,1.20%
08:58:52,lb,2.93%,1.10%
08:58:55,lb,0.00%,1.10%
08:58:57,lb,0.00%,1.10%
08:59:00,lb,0.00%,1.10%
08:59:02,lb,0.00%,1.10%
08:59:05,lb,0.00%,1.10%
08:59:07,lb,0.00%,1.10%
08:59:10,lb,0.00%,1.10%
08:59:12,lb,0.00%,1.10%
08:59:15,lb,0.00%,1.10%
08:59:17,lb,0.00%,1.10%
08:59:20,lb,0.00%,1.10%
08:59:22,lb,0.00%,1.10%
